TIME,BATT,PM_1,PM_25,PM_10
ISO 8601,%,ug/m3,ug/m3,ug/m3
Time,Battery,PM 1.0,PM 2.5,PM 10.0
2026-05-08T04:30:54Z,83,8,14,14
2026-05-08T04:32:54Z,83,11,19,19
2026-05-08T04:34:54Z,83,10,12,13
2026-05-08T04:36:54Z,83,11,18,20
2026-05-08T04:38:54Z,83,10,17,19
2026-05-08T04:40:54Z,83,12,17,21
2026-05-08T04:42:54Z,83,11,18,22
2026-05-08T04:44:54Z,82,11,19,23
2026-05-08T04:46:54Z,83,10,12,21
2026-05-08T04:48:54Z,83,10,17,18
2026-05-08T04:50:54Z,83,9,13,17
2026-05-08T04:52:54Z,83,9,15,17
2026-05-08T04:54:54Z,83,9,16,17
2026-05-08T04:56:54Z,82,9,15,24
2026-05-08T04:58:54Z,83,7,14,15
2026-05-08T05:00:54Z,82,8,16,17
2026-05-08T05:02:54Z,82,8,13,15
2026-05-08T05:04:54Z,83,10,15,16
2026-05-08T05:06:54Z,82,7,13,15
2026-05-08T05:08:54Z,83,9,14,20
2026-05-08T05:10:54Z,82,10,14,15
2026-05-08T05:12:54Z,82,9,16,19
2026-05-08T05:14:54Z,83,8,16,20
2026-05-08T05:16:54Z,82,10,14,17
2026-05-08T05:18:54Z,82,10,14,15
2026-05-08T05:20:54Z,82,8,14,17
2026-05-08T05:22:54Z,82,11,16,19
2026-05-08T05:24:54Z,82,12,16,18
2026-05-08T05:26:54Z,82,9,17,17
2026-05-08T05:28:54Z,82,9,13,17
2026-05-08T05:30:54Z,82,11,19,23
2026-05-08T05:32:54Z,82,9,15,25
2026-05-08T05:34:54Z,82,9,15,30
2026-05-08T05:36:54Z,82,8,17,22
2026-05-08T05:38:54Z,81,10,18,19
2026-05-08T05:40:54Z,82,9,13,14
2026-05-08T05:42:54Z,81,8,17,18
2026-05-08T05:44:54Z,82,8,15,18
2026-05-08T05:46:54Z,81,9,15,17
2026-05-08T05:48:54Z,81,9,15,16
2026-05-08T05:50:54Z,81,10,14,16
2026-05-08T05:52:54Z,81,11,19,21
2026-05-08T05:54:54Z,82,9,13,17
2026-05-08T05:56:54Z,81,10,17,19
2026-05-08T05:58:54Z,81,11,16,17
2026-05-08T06:00:54Z,81,10,19,21
2026-05-08T06:02:54Z,81,15,19,21
2026-05-08T06:04:54Z,81,8,16,17
2026-05-08T06:06:54Z,81,11,18,20
2026-05-08T06:08:54Z,81,9,15,18
2026-05-08T06:10:54Z,81,9,13,14
2026-05-08T06:12:54Z,81,10,14,15
2026-05-08T06:14:54Z,81,10,16,20
2026-05-08T06:16:54Z,81,9,16,20
