TIME,BATT,PM_1,PM_25,PM_10
ISO 8601,%,ug/m3,ug/m3,ug/m3
Time,Battery,PM 1.0,PM 2.5,PM 10.0
2026-05-07T04:34:54Z,97,7,11,11
2026-05-07T04:36:54Z,97,4,9,11
2026-05-07T04:38:54Z,97,3,9,10
2026-05-07T04:40:54Z,97,5,11,15
2026-05-07T04:42:54Z,97,4,12,13
2026-05-07T04:44:54Z,97,6,14,16
2026-05-07T04:46:54Z,97,7,15,18
2026-05-07T04:48:54Z,97,4,10,13
2026-05-07T04:50:54Z,97,6,11,13
2026-05-07T04:52:54Z,97,4,10,13
2026-05-07T04:54:54Z,97,4,8,10
2026-05-07T04:56:54Z,97,6,10,11
2026-05-07T04:58:54Z,96,4,10,12
2026-05-07T05:00:54Z,97,5,9,10
2026-05-07T05:02:54Z,96,4,9,10
2026-05-07T05:04:54Z,97,7,15,21
2026-05-07T05:06:54Z,97,4,9,12
2026-05-07T05:08:54Z,96,7,14,14
2026-05-07T05:10:54Z,96,5,8,9
2026-05-07T05:12:54Z,96,6,12,13
2026-05-07T05:14:54Z,96,3,8,9
2026-05-07T05:16:54Z,96,6,13,15
2026-05-07T05:18:54Z,96,4,9,12
2026-05-07T05:20:54Z,96,5,16,20
2026-05-07T05:22:54Z,96,5,9,10
2026-05-07T05:24:54Z,96,10,18,21
2026-05-07T05:26:54Z,96,4,11,15
2026-05-07T05:28:54Z,96,6,14,16
2026-05-07T05:30:54Z,96,7,12,14
2026-05-07T05:32:54Z,96,4,10,15
2026-05-07T05:34:54Z,96,7,12,13
2026-05-07T05:36:54Z,96,4,8,10
2026-05-07T05:38:54Z,96,5,10,12
2026-05-07T05:40:54Z,96,6,10,11
2026-05-07T05:42:54Z,96,4,11,14
2026-05-07T05:44:54Z,96,7,11,14
2026-05-07T05:46:54Z,96,5,9,12
2026-05-07T05:48:54Z,96,7,11,14
2026-05-07T05:50:54Z,96,6,12,15
2026-05-07T05:52:54Z,96,7,11,13
2026-05-07T05:54:54Z,96,6,12,13
2026-05-07T05:56:54Z,96,5,12,12
2026-05-07T05:58:54Z,96,3,8,9
2026-05-07T06:00:54Z,96,6,12,16
2026-05-07T06:02:54Z,96,5,10,13
2026-05-07T06:04:54Z,96,6,9,9
2026-05-07T06:06:54Z,96,5,12,13
2026-05-07T06:08:54Z,96,6,12,13
2026-05-07T06:10:54Z,96,4,8,11
2026-05-07T06:12:54Z,96,5,9,11
2026-05-07T06:14:54Z,96,4,9,11
2026-05-07T06:16:54Z,96,5,11,15
2026-05-07T06:18:54Z,96,5,10,11
2026-05-07T06:20:54Z,96,6,9,11
2026-05-07T06:22:54Z,96,3,12,14
2026-05-07T06:24:54Z,96,7,11,14
2026-05-07T06:26:54Z,96,5,10,13
2026-05-07T06:28:54Z,96,6,11,13
2026-05-07T06:30:54Z,96,6,10,13
2026-05-07T06:32:54Z,96,5,9,10
2026-05-07T06:34:54Z,96,5,8,10
2026-05-07T06:36:54Z,96,4,10,11
2026-05-07T06:38:54Z,96,3,6,6
2026-05-07T06:40:54Z,96,5,9,18
2026-05-07T06:42:54Z,96,5,13,15
2026-05-07T06:44:54Z,96,6,11,21
2026-05-07T06:46:54Z,96,6,12,15
2026-05-07T06:48:54Z,96,5,11,15
2026-05-07T06:50:54Z,96,5,10,14
2026-05-07T06:52:54Z,96,5,10,13
2026-05-07T06:54:54Z,96,7,10,14
2026-05-07T06:56:54Z,96,5,10,11
2026-05-07T06:58:54Z,96,5,10,13
2026-05-07T07:00:54Z,96,6,11,17
2026-05-07T07:02:54Z,96,6,8,10
2026-05-07T07:04:54Z,96,5,16,19
2026-05-07T07:06:54Z,96,5,10,13
2026-05-07T07:08:54Z,96,4,14,15
2026-05-07T07:10:54Z,96,5,11,11
2026-05-07T07:12:54Z,96,5,8,10
2026-05-07T07:14:54Z,96,4,11,11
2026-05-07T07:16:54Z,96,4,8,11
2026-05-07T07:18:54Z,96,5,10,11
2026-05-07T07:20:54Z,96,7,11,12
2026-05-07T07:22:54Z,96,4,8,11
2026-05-07T07:24:54Z,96,3,9,14
2026-05-07T07:26:54Z,96,5,12,14
2026-05-07T07:28:54Z,96,6,9,12
2026-05-07T07:30:54Z,96,6,12,13
2026-05-07T07:32:54Z,96,6,11,14
2026-05-07T07:34:54Z,96,5,10,10
2026-05-07T07:36:54Z,96,5,11,11
2026-05-07T07:38:54Z,95,6,11,13
2026-05-07T07:40:54Z,95,5,9,10
2026-05-07T07:42:54Z,95,6,9,10
2026-05-07T07:44:54Z,95,2,7,9
2026-05-07T07:46:54Z,95,6,13,14
2026-05-07T07:48:54Z,96,7,11,14
2026-05-07T07:50:54Z,95,3,8,8
2026-05-07T07:52:54Z,95,7,12,13
2026-05-07T07:54:54Z,95,4,10,13
2026-05-07T07:56:54Z,95,5,9,11
2026-05-07T07:58:54Z,95,7,10,15
2026-05-07T08:00:54Z,95,4,10,10
2026-05-07T08:02:54Z,95,6,11,12
2026-05-07T08:04:54Z,95,7,9,13
2026-05-07T08:06:54Z,95,6,11,12
2026-05-07T08:08:54Z,95,6,12,14
2026-05-07T08:10:54Z,95,7,15,17
2026-05-07T08:12:54Z,95,6,12,14
2026-05-07T08:14:54Z,95,6,14,15
2026-05-07T08:16:54Z,95,6,9,11
2026-05-07T08:18:54Z,95,6,15,16
2026-05-07T08:20:54Z,95,6,11,13
2026-05-07T08:22:54Z,95,9,16,26
2026-05-07T08:24:54Z,95,6,11,12
2026-05-07T08:26:54Z,95,6,11,12
2026-05-07T08:28:54Z,95,8,13,15
2026-05-07T08:30:54Z,95,6,16,16
2026-05-07T08:32:54Z,95,6,12,13
2026-05-07T08:34:54Z,95,6,15,15
2026-05-07T08:36:54Z,95,6,13,15
2026-05-07T08:38:54Z,95,8,13,16
2026-05-07T08:40:54Z,95,9,16,19
2026-05-07T08:42:54Z,95,8,12,12
2026-05-07T08:44:54Z,95,6,12,12
2026-05-07T08:46:54Z,95,8,13,14
2026-05-07T08:48:54Z,95,8,13,14
2026-05-07T08:50:54Z,95,6,13,14
2026-05-07T08:52:54Z,95,7,11,16
2026-05-07T08:54:54Z,95,5,12,14
2026-05-07T08:56:54Z,95,7,12,13
2026-05-07T08:58:54Z,95,8,12,13
2026-05-07T09:00:54Z,95,7,15,18
2026-05-07T09:02:54Z,95,10,16,18
2026-05-07T09:04:54Z,95,8,14,24
2026-05-07T09:06:54Z,95,7,14,21
2026-05-07T09:08:54Z,95,7,15,16
2026-05-07T09:10:54Z,95,6,13,14
2026-05-07T09:12:54Z,95,8,13,21
2026-05-07T09:14:54Z,95,10,20,21
2026-05-07T09:16:54Z,95,7,14,14
2026-05-07T09:18:54Z,95,10,21,28
2026-05-07T09:20:54Z,95,9,13,13
2026-05-07T09:22:54Z,95,7,11,13
2026-05-07T09:24:54Z,95,9,15,18
2026-05-07T09:26:54Z,95,6,20,20
2026-05-07T09:28:54Z,95,7,11,12
2026-05-07T09:30:54Z,95,7,11,13
2026-05-07T09:32:54Z,95,8,11,13
2026-05-07T09:34:54Z,95,10,15,16
2026-05-07T09:36:54Z,95,8,15,16
2026-05-07T09:38:54Z,95,7,13,15
2026-05-07T09:40:54Z,95,8,13,14
2026-05-07T09:42:54Z,95,9,17,18
2026-05-07T09:44:54Z,95,7,16,25
2026-05-07T09:46:54Z,95,7,13,14
2026-05-07T09:48:54Z,95,10,15,15
2026-05-07T09:50:54Z,95,7,17,19
2026-05-07T09:52:54Z,95,8,13,20
2026-05-07T09:54:54Z,95,9,16,17
2026-05-07T09:56:54Z,95,7,11,13
2026-05-07T09:58:54Z,95,8,15,18
2026-05-07T10:00:54Z,95,7,10,14
2026-05-07T10:02:54Z,95,6,13,21
2026-05-07T10:04:54Z,95,7,10,11
2026-05-07T10:06:54Z,95,8,13,14
2026-05-07T10:08:54Z,95,8,14,14
2026-05-07T10:10:54Z,95,8,14,14
2026-05-07T10:12:54Z,95,8,14,14
2026-05-07T10:14:54Z,95,7,15,16
2026-05-07T10:16:54Z,95,10,17,17
2026-05-07T10:18:54Z,95,9,17,18
2026-05-07T10:20:54Z,95,9,16,19
2026-05-07T10:22:54Z,95,9,13,15
2026-05-07T10:24:54Z,94,7,13,20
2026-05-07T10:26:54Z,95,7,14,15
2026-05-07T10:28:54Z,94,8,11,13
2026-05-07T10:30:54Z,95,8,16,17
2026-05-07T10:32:54Z,95,7,13,15
2026-05-07T10:34:54Z,94,8,11,15
2026-05-07T10:36:54Z,95,8,12,12
2026-05-07T10:38:54Z,94,8,14,15
2026-05-07T10:40:54Z,94,9,13,15
2026-05-07T10:42:54Z,94,9,15,15
2026-05-07T10:44:54Z,94,6,12,14
2026-05-07T10:46:54Z,94,8,15,22
2026-05-07T10:48:54Z,94,6,11,22
2026-05-07T10:50:54Z,94,9,16,22
2026-05-07T10:52:54Z,94,7,12,19
2026-05-07T10:54:54Z,94,7,12,14
2026-05-07T10:56:54Z,94,8,15,18
2026-05-07T10:58:54Z,94,9,14,15
2026-05-07T11:00:54Z,94,8,16,19
2026-05-07T11:02:54Z,94,9,13,15
2026-05-07T11:04:54Z,94,8,14,15
2026-05-07T11:06:54Z,94,8,17,19
2026-05-07T11:08:54Z,94,9,22,24
2026-05-07T11:10:54Z,94,9,13,15
2026-05-07T11:12:54Z,94,6,14,15
2026-05-07T11:14:54Z,94,8,16,18
2026-05-07T11:16:54Z,94,8,18,19
2026-05-07T11:18:54Z,94,8,16,16
2026-05-07T11:20:54Z,94,9,17,18
2026-05-07T11:22:54Z,94,7,13,14
2026-05-07T11:24:54Z,94,10,15,16
2026-05-07T11:26:54Z,94,9,17,18
2026-05-07T11:28:54Z,94,11,15,19
2026-05-07T11:30:54Z,94,10,19,21
2026-05-07T11:32:54Z,94,10,19,21
2026-05-07T11:34:54Z,94,11,17,18
2026-05-07T11:36:54Z,94,13,18,25
2026-05-07T11:38:54Z,94,11,16,19
2026-05-07T11:40:54Z,94,12,23,34
2026-05-07T11:42:54Z,94,13,19,30
2026-05-07T11:44:54Z,94,13,24,31
2026-05-07T11:46:54Z,94,11,19,21
2026-05-07T11:48:54Z,94,12,19,21
2026-05-07T11:50:54Z,94,11,18,20
2026-05-07T11:52:54Z,94,13,21,24
2026-05-07T11:54:54Z,94,10,19,22
2026-05-07T11:56:54Z,94,11,20,20
2026-05-07T11:58:54Z,94,11,18,21
2026-05-07T12:00:54Z,94,11,20,22
2026-05-07T12:02:54Z,94,10,22,30
2026-05-07T12:04:54Z,94,16,22,34
2026-05-07T12:06:54Z,94,14,22,24
2026-05-07T12:08:54Z,94,12,18,19
2026-05-07T12:10:54Z,94,12,20,21
2026-05-07T12:12:54Z,94,12,17,20
2026-05-07T12:14:54Z,94,14,23,25
2026-05-07T12:16:54Z,94,12,18,19
2026-05-07T12:18:54Z,94,13,18,19
2026-05-07T12:20:54Z,94,10,16,20
2026-05-07T12:22:54Z,94,13,26,30
2026-05-07T12:24:54Z,93,14,17,21
2026-05-07T12:26:54Z,93,12,20,21
2026-05-07T12:28:54Z,93,12,17,18
2026-05-07T12:30:54Z,93,12,21,22
2026-05-07T12:32:54Z,93,11,17,18
2026-05-07T12:34:54Z,93,11,17,21
2026-05-07T12:36:54Z,93,13,17,18
2026-05-07T12:38:54Z,93,13,20,21
2026-05-07T12:40:54Z,93,14,22,31
2026-05-07T12:42:54Z,93,14,18,20
2026-05-07T12:44:54Z,93,15,20,23
2026-05-07T12:46:54Z,93,14,22,23
2026-05-07T12:48:54Z,93,14,24,26
2026-05-07T12:50:54Z,93,13,18,19
2026-05-07T12:52:54Z,93,11,19,20
2026-05-07T12:54:54Z,93,12,19,19
2026-05-07T12:56:54Z,93,13,19,22
2026-05-07T12:58:54Z,93,16,29,40
2026-05-07T13:00:54Z,93,14,21,23
