TIME,BATT,PM_1,PM_25,PM_10,PN_03,PN_05,PN_1,PN_25,PN_5,PN_10
ISO 8601,%,ug/m3,ug/m3,ug/m3,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l
Time,Battery,PM 1.0,PM 2.5,PM 10.0,PN 0.3,PN 0.5,PN 1.0,PN 2.5,PN 5.0,PN 10.0
2026-05-21T02:50:01Z,95,2,9,11,463,339,87,0,0,0
2026-05-21T02:52:01Z,95,5,11,20,590,409,81,0,0,0
2026-05-21T02:54:01Z,95,3,7,9,535,328,29,0,0,0
2026-05-21T02:56:01Z,95,4,11,14,580,380,91,1,0,0
2026-05-21T02:58:01Z,95,5,10,13,532,388,77,2,0,0
2026-05-21T03:00:01Z,95,4,11,15,494,351,97,0,0,0
2026-05-21T03:02:01Z,95,4,13,16,573,409,106,0,0,0
2026-05-21T03:04:01Z,95,5,9,11,579,364,70,0,0,0
2026-05-21T03:06:01Z,95,2,9,14,515,319,86,0,0,0
2026-05-21T03:08:01Z,95,5,10,14,613,393,53,0,0,0
2026-05-21T03:10:01Z,95,3,9,9,562,352,65,0,0,0
2026-05-21T03:12:01Z,95,3,9,11,489,337,40,0,0,0
2026-05-21T03:14:01Z,95,6,12,14,785,588,68,0,0,0
2026-05-21T03:16:01Z,95,3,9,12,551,335,44,0,0,0
2026-05-21T03:18:01Z,95,2,8,11,496,306,64,0,0,0
2026-05-21T03:20:01Z,95,6,12,12,631,448,66,0,0,0
2026-05-21T03:22:01Z,95,4,9,11,610,377,75,0,0,0
2026-05-21T03:24:01Z,95,3,9,10,481,348,75,0,0,0
2026-05-21T03:26:01Z,95,5,11,13,598,406,85,0,0,0
2026-05-21T03:28:01Z,95,4,9,13,568,383,50,0,0,0
2026-05-21T03:30:01Z,95,3,9,23,520,346,101,0,0,0
2026-05-21T03:32:01Z,95,3,9,11,550,340,72,0,0,0
2026-05-21T03:34:01Z,95,3,10,13,554,345,60,2,0,0
2026-05-21T03:36:01Z,95,6,11,13,590,410,85,0,0,0
2026-05-21T03:38:01Z,95,6,13,18,642,437,95,3,0,0
2026-05-21T03:40:01Z,95,4,8,10,546,376,49,0,0,0
2026-05-21T03:42:01Z,95,2,11,13,497,347,73,0,0,0
2026-05-21T03:44:01Z,95,4,10,13,556,374,83,0,0,0
2026-05-21T03:46:01Z,95,5,12,14,625,445,106,0,0,0
2026-05-21T03:48:01Z,95,4,9,12,595,341,59,0,0,0
2026-05-21T03:50:01Z,95,2,7,11,527,339,61,0,0,0
2026-05-21T03:52:01Z,95,1,8,12,473,313,61,0,0,0
2026-05-21T03:54:01Z,95,3,8,11,552,365,72,0,0,0
2026-05-21T03:56:01Z,95,3,7,11,467,296,67,0,0,0
2026-05-21T03:58:01Z,94,4,8,10,441,317,60,0,0,0
2026-05-21T04:00:01Z,95,5,12,14,636,416,84,1,0,0
2026-05-21T04:02:01Z,94,2,9,11,487,292,82,0,0,0
2026-05-21T04:04:01Z,94,2,8,8,422,301,56,0,0,0
2026-05-21T04:06:01Z,95,5,11,12,586,446,53,0,0,0
2026-05-21T04:08:01Z,94,3,9,10,472,329,68,0,0,0
2026-05-21T04:10:01Z,94,6,11,12,656,418,74,0,0,0
2026-05-21T04:12:01Z,94,5,10,15,573,392,75,0,0,0
2026-05-21T04:14:01Z,94,4,8,26,560,353,66,0,0,0
2026-05-21T04:16:01Z,94,4,11,13,589,406,85,1,0,0
2026-05-21T04:18:01Z,94,5,9,12,617,386,62,3,0,0
2026-05-21T04:20:01Z,94,5,18,22,637,454,133,14,0,0
2026-05-21T04:22:01Z,94,4,10,14,610,397,91,0,0,0
2026-05-21T04:24:01Z,94,5,11,13,572,429,59,2,0,0
2026-05-21T04:26:01Z,94,7,16,19,722,547,117,0,0,0
2026-05-21T04:28:01Z,94,4,14,17,543,416,88,7,0,0
2026-05-21T04:30:01Z,94,5,13,15,559,438,86,0,0,0
2026-05-21T04:32:01Z,94,7,13,16,693,487,79,0,0,0
2026-05-21T04:34:01Z,94,4,10,12,571,356,61,0,0,0
2026-05-21T04:36:01Z,94,5,11,13,617,412,92,0,0,0
2026-05-21T04:38:01Z,94,5,16,18,563,431,96,1,0,0
2026-05-21T04:40:01Z,94,5,10,12,535,389,84,0,0,0
2026-05-21T04:42:01Z,94,4,9,13,525,373,64,0,0,0
2026-05-21T04:44:01Z,94,5,10,20,622,413,101,0,0,0
2026-05-21T04:46:01Z,94,5,10,12,592,404,69,0,0,0
2026-05-21T04:53:14Z,94,6,12,16,632,458,84,0,0,0
2026-05-21T04:55:14Z,94,5,12,15,536,392,118,2,0,0
2026-05-21T04:57:14Z,94,3,9,13,540,322,77,0,0,0
2026-05-21T04:59:14Z,94,6,14,16,616,410,97,0,0,0
2026-05-21T05:01:14Z,94,5,14,18,615,423,120,6,0,0
2026-05-21T05:03:14Z,94,6,11,13,599,422,72,0,0,0
2026-05-21T05:05:14Z,94,13,20,21,1051,734,121,4,0,0
2026-05-21T05:07:14Z,94,7,14,16,751,545,74,0,0,0
2026-05-21T05:09:14Z,94,3,9,11,448,320,84,0,0,0
2026-05-21T05:11:14Z,94,5,12,13,503,362,91,0,0,0
2026-05-21T05:13:14Z,94,5,12,15,585,399,73,0,0,0
2026-05-21T05:15:14Z,94,4,11,14,607,395,82,0,0,0
2026-05-21T05:17:14Z,93,5,10,14,633,408,80,0,0,0
2026-05-21T05:19:14Z,93,4,11,15,583,380,99,0,0,0
2026-05-21T05:21:14Z,93,5,12,13,592,382,72,0,0,0
2026-05-21T05:23:14Z,94,4,11,15,624,433,89,0,0,0
2026-05-21T05:25:14Z,93,4,12,16,563,394,89,0,0,0
2026-05-21T05:27:14Z,93,6,16,17,634,474,116,0,0,0
2026-05-21T05:29:14Z,93,5,11,15,596,417,85,0,0,0
2026-05-21T05:31:14Z,93,4,9,12,513,367,77,0,0,0
2026-05-21T05:33:14Z,93,5,11,16,582,397,109,0,0,0
2026-05-21T05:35:14Z,93,3,9,12,480,358,79,0,0,0
2026-05-21T05:37:14Z,93,6,11,15,597,427,90,0,0,0
2026-05-21T05:39:14Z,93,4,12,20,614,424,107,0,0,0
2026-05-21T05:41:14Z,93,3,9,11,497,355,87,0,0,0
2026-05-21T05:43:14Z,93,5,10,13,638,407,101,0,0,0
2026-05-21T05:45:14Z,93,6,12,16,749,538,98,0,0,0
2026-05-21T05:47:14Z,93,3,10,11,532,354,79,0,0,0
2026-05-21T05:49:14Z,93,4,11,12,559,348,110,0,0,0
2026-05-21T05:51:14Z,93,5,12,14,576,417,81,0,0,0
2026-05-21T05:53:14Z,93,5,12,13,629,412,101,0,0,0
2026-05-21T05:55:14Z,93,5,13,16,568,401,92,0,0,0
2026-05-21T05:57:14Z,93,6,12,16,606,450,89,0,0,0
2026-05-21T05:59:14Z,93,5,13,19,628,446,134,0,0,0
2026-05-21T06:01:14Z,93,5,11,14,677,413,94,0,0,0
2026-05-21T06:03:14Z,93,4,12,14,577,403,89,0,0,0
2026-05-21T06:05:14Z,93,4,10,14,552,367,66,0,0,0
2026-05-21T06:07:14Z,93,4,9,9,593,352,71,0,0,0
2026-05-21T06:09:14Z,93,5,11,15,600,419,70,0,0,0
2026-05-21T06:11:14Z,93,6,14,22,721,503,104,1,0,0
2026-05-21T06:13:14Z,93,3,9,22,529,380,90,0,0,0
2026-05-21T06:15:14Z,93,6,11,14,613,429,93,0,0,0
2026-05-21T06:17:14Z,93,7,11,13,609,451,74,0,0,0
2026-05-21T06:19:14Z,93,5,13,13,614,435,96,0,0,0
2026-05-21T06:21:14Z,93,6,11,21,542,420,102,0,0,0
2026-05-21T06:23:14Z,93,5,10,10,560,356,61,0,0,0
2026-05-21T06:25:14Z,93,4,10,14,543,368,99,0,0,0
2026-05-21T06:27:14Z,93,5,15,19,660,449,129,1,0,0
2026-05-21T06:29:14Z,93,7,12,18,650,477,113,0,0,0
