recorded_at,battery,pm_1,pm_25,pm_10,pn_03,pn_05,pn_1,pn_25,pn_5,pn_10
2026-05-22T02:59:14Z,78,5,15,23,681,462,103,0,0,0
2026-05-22T03:01:14Z,78,4,11,13,545,363,78,0,0,0
2026-05-22T03:03:14Z,78,2,7,19,486,350,64,0,0,0
2026-05-22T03:05:14Z,78,6,11,11,664,455,79,0,0,0
2026-05-22T03:07:14Z,78,4,9,12,495,371,81,0,0,0
2026-05-22T03:09:14Z,78,6,13,15,643,472,104,0,0,0
2026-05-22T03:11:14Z,78,5,12,14,546,408,107,0,0,0
2026-05-22T03:13:14Z,78,5,10,11,473,355,76,0,0,0
2026-05-22T03:15:14Z,78,6,11,12,653,467,66,0,0,0
2026-05-22T03:17:14Z,78,4,10,12,502,317,110,0,0,0
2026-05-22T03:19:14Z,78,5,10,11,666,376,61,0,0,0
2026-05-22T03:21:14Z,78,6,13,16,691,437,104,0,0,0
2026-05-22T03:23:14Z,78,5,10,11,554,392,61,0,0,0
2026-05-22T03:25:14Z,78,5,13,17,670,468,98,0,0,0
2026-05-22T03:27:14Z,78,3,9,10,611,372,67,0,0,0
2026-05-22T03:29:14Z,78,6,10,13,622,445,73,0,0,0
2026-05-22T03:31:14Z,78,3,10,12,536,358,85,0,0,0
2026-05-22T03:33:14Z,78,4,9,11,473,349,77,0,0,0
2026-05-22T03:35:14Z,78,6,12,15,577,436,100,0,0,0
2026-05-22T03:37:14Z,78,4,8,10,489,324,68,0,0,0
2026-05-22T03:39:14Z,78,1,9,12,479,305,97,0,0,0
2026-05-22T03:41:14Z,78,4,11,13,556,355,71,0,0,0
2026-05-22T03:43:14Z,78,5,12,15,632,437,91,0,0,0
2026-05-22T03:45:14Z,78,5,13,14,680,489,97,0,0,0
2026-05-22T03:47:14Z,78,5,10,11,574,408,52,0,0,0
2026-05-22T03:49:14Z,78,4,9,10,489,355,61,0,0,0
2026-05-22T03:51:14Z,78,4,15,17,575,388,105,1,0,0
2026-05-22T03:53:14Z,78,4,8,11,519,355,63,0,0,0
2026-05-22T03:55:14Z,78,3,8,9,507,357,64,0,0,0
2026-05-22T03:57:14Z,78,6,13,15,653,445,81,0,0,0
2026-05-22T03:59:14Z,78,5,11,11,603,398,55,0,0,0
2026-05-22T04:01:14Z,78,5,11,15,555,395,82,0,0,0
2026-05-22T04:03:14Z,78,5,14,16,638,473,117,2,0,0
