recorded_at,battery,pm_1,pm_25,pm_10,pn_03,pn_05,pn_1,pn_25,pn_5,pn_10
2026-05-23T00:01:14Z,58,3,8,9,588,331,60,0,0,0
2026-05-23T00:03:14Z,58,3,12,16,477,351,86,1,0,0
2026-05-23T00:05:14Z,58,5,15,25,795,504,84,0,0,0
2026-05-23T00:07:14Z,58,6,10,21,566,409,81,0,0,0
2026-05-23T00:09:14Z,58,3,9,11,498,325,67,1,0,0
2026-05-23T00:11:14Z,58,3,8,9,487,310,75,0,0,0
2026-05-23T00:13:14Z,58,2,8,10,484,315,62,0,0,0
2026-05-23T00:15:14Z,58,2,7,7,493,300,67,0,0,0
2026-05-23T00:17:14Z,58,4,7,7,538,348,40,0,0,0
2026-05-23T00:19:14Z,58,4,8,15,586,346,77,0,0,0
2026-05-23T00:21:14Z,58,4,8,10,557,381,64,0,0,0
2026-05-23T00:23:14Z,58,4,15,17,629,420,115,0,0,0
2026-05-23T00:25:14Z,58,5,10,11,580,401,77,0,0,0
2026-05-23T00:27:14Z,58,0,8,12,439,281,68,0,0,0
2026-05-23T00:29:14Z,58,1,6,9,380,249,60,0,0,0
2026-05-23T00:31:14Z,58,4,10,19,644,443,81,0,0,0
2026-05-23T00:33:14Z,58,3,6,8,460,294,41,0,0,0
2026-05-23T00:35:14Z,58,5,9,11,519,400,65,0,0,0
2026-05-23T00:37:14Z,58,4,8,9,492,332,75,0,0,0
2026-05-23T00:39:14Z,57,3,13,14,540,414,81,0,0,0
2026-05-23T00:41:14Z,58,3,7,10,576,335,55,3,0,0
2026-05-23T00:43:14Z,58,6,15,16,680,453,93,0,0,0
2026-05-23T00:45:14Z,57,5,17,18,702,459,99,1,0,0
2026-05-23T00:47:14Z,57,3,7,10,455,308,43,0,0,0
2026-05-23T00:49:14Z,57,3,6,9,477,340,61,0,0,0
2026-05-23T00:51:14Z,57,2,6,10,420,281,56,0,0,0
2026-05-23T00:53:14Z,57,3,10,19,560,345,89,0,0,0
2026-05-23T00:55:14Z,58,4,8,11,494,329,61,0,0,0
2026-05-23T00:57:14Z,57,3,7,10,442,318,60,0,0,0
2026-05-23T00:59:14Z,57,4,11,13,644,418,65,0,0,0
2026-05-23T01:01:14Z,57,3,8,11,482,325,70,0,0,0
2026-05-23T01:03:14Z,57,4,7,7,594,333,47,0,0,0
2026-05-23T01:05:14Z,57,4,8,13,525,381,75,0,0,0
2026-05-23T01:07:14Z,57,2,8,9,487,312,36,2,0,0
