recorded_at,battery,pm_1,pm_25,pm_10,pn_03,pn_05,pn_1,pn_25,pn_5,pn_10
2026-05-20T17:51:09Z,92,,,,,,,,,
2026-05-20T17:52:01Z,,13,17,19,907,652,124,0,0,0
2026-05-20T17:54:01Z,89,7,11,11,631,425,67,0,0,0
2026-05-20T17:56:01Z,88,6,14,19,742,519,102,0,0,0
2026-05-20T17:58:01Z,87,8,16,18,740,496,118,1,0,0
2026-05-20T18:00:01Z,89,6,14,17,741,501,87,5,0,0
2026-05-20T18:02:01Z,90,5,13,22,642,475,75,0,0,0
2026-05-20T18:04:01Z,92,7,13,13,681,496,85,0,0,0
2026-05-20T18:06:01Z,93,6,14,16,709,451,103,0,0,0
2026-05-20T18:08:01Z,93,8,15,15,648,466,75,0,0,0
2026-05-20T18:10:01Z,94,6,8,11,615,433,31,0,0,0
2026-05-20T18:12:01Z,96,7,11,12,635,443,71,0,0,0
2026-05-20T18:14:01Z,98,5,11,12,583,396,68,0,0,0
2026-05-20T18:16:01Z,99,4,10,11,541,396,76,0,0,0
2026-05-20T18:18:01Z,99,5,12,12,557,411,62,0,0,0
2026-05-20T18:20:01Z,99,3,8,11,571,383,56,0,0,0
2026-05-20T18:22:01Z,99,7,14,15,715,538,65,0,0,0
2026-05-20T18:24:01Z,99,5,8,11,579,421,74,0,0,0
2026-05-20T18:26:01Z,99,4,8,9,579,372,32,0,0,0
2026-05-20T18:28:01Z,99,3,8,9,483,331,61,0,0,0
2026-05-20T18:30:01Z,98,9,14,16,807,542,96,0,0,0
2026-05-20T18:32:01Z,98,5,9,12,569,390,68,0,0,0
2026-05-20T18:34:01Z,98,7,10,12,604,440,89,0,0,0
2026-05-20T18:36:01Z,98,5,8,8,554,387,44,0,0,0
2026-05-20T18:38:01Z,98,4,9,12,639,369,87,0,0,0
2026-05-20T18:40:01Z,98,5,11,12,649,404,76,0,0,0
2026-05-20T18:42:01Z,98,5,8,13,455,353,60,0,0,0
2026-05-20T18:44:01Z,98,5,9,13,559,390,45,0,0,0
2026-05-20T18:46:01Z,98,7,10,10,656,440,59,0,0,0
2026-05-20T18:48:01Z,98,7,9,11,698,455,54,0,0,0
2026-05-20T18:50:01Z,98,7,11,13,685,454,90,0,0,0
2026-05-20T18:52:01Z,98,5,9,11,611,426,66,0,0,0
2026-05-20T18:54:01Z,98,4,10,10,540,372,85,0,0,0
2026-05-20T18:56:01Z,98,4,9,12,599,380,69,0,0,0
2026-05-20T18:58:01Z,98,4,8,16,561,404,60,0,0,0
2026-05-20T19:00:01Z,98,2,5,6,519,305,32,0,0,0
2026-05-20T19:02:01Z,98,4,10,11,639,395,49,0,0,0
2026-05-20T19:04:01Z,98,5,7,10,499,342,59,0,0,0
2026-05-20T19:06:01Z,98,3,9,9,565,351,62,0,0,0
2026-05-20T19:08:01Z,98,4,9,10,608,359,78,0,0,0
2026-05-20T19:10:01Z,98,4,7,10,518,365,58,0,0,0
2026-05-20T19:12:01Z,98,6,11,13,606,413,74,0,0,0
2026-05-20T19:14:01Z,98,4,7,8,576,340,41,0,0,0
2026-05-20T19:16:01Z,98,3,7,7,472,325,48,0,0,0
2026-05-20T19:18:01Z,98,4,9,10,565,381,59,0,0,0
2026-05-20T19:20:01Z,98,5,8,11,561,391,55,0,0,0
2026-05-20T19:22:01Z,98,6,10,11,648,492,49,0,0,0
2026-05-20T19:24:01Z,98,6,10,13,603,377,83,0,0,0
2026-05-20T19:26:01Z,98,4,11,13,574,386,68,0,0,0
2026-05-20T19:28:01Z,98,4,8,11,574,343,62,0,0,0
2026-05-20T19:30:01Z,98,5,9,12,537,379,61,0,0,0
2026-05-20T19:32:01Z,98,8,15,16,677,490,69,0,0,0
2026-05-20T19:34:01Z,98,4,11,11,627,382,81,0,0,0
2026-05-20T19:36:01Z,98,5,10,10,580,393,59,0,0,0
2026-05-20T19:38:01Z,98,6,10,11,655,443,73,0,0,0
2026-05-20T19:40:01Z,98,4,9,11,566,369,60,0,0,0
2026-05-20T19:42:01Z,98,4,8,9,551,357,29,0,0,0
2026-05-20T19:44:01Z,98,7,15,16,704,541,91,0,0,0
2026-05-20T19:46:01Z,98,5,9,15,629,452,52,0,0,0
2026-05-20T19:48:01Z,98,5,10,12,616,394,67,0,0,0
2026-05-20T19:50:01Z,98,5,9,10,531,350,48,0,0,0
2026-05-20T19:52:01Z,98,4,8,9,521,339,65,0,0,0
2026-05-20T19:54:01Z,98,6,13,13,706,456,94,0,0,0
2026-05-20T19:56:01Z,98,1,4,5,454,263,25,0,0,0
2026-05-20T19:58:01Z,98,2,8,8,515,296,56,0,0,0
2026-05-20T20:00:01Z,98,6,9,11,596,425,52,0,0,0
2026-05-20T20:02:01Z,98,5,10,10,611,417,60,0,0,0
2026-05-20T20:04:01Z,98,4,9,13,472,321,70,0,0,0
2026-05-20T20:06:01Z,98,2,7,10,413,273,58,0,0,0
2026-05-20T20:08:01Z,98,4,8,9,568,378,59,0,0,0
2026-05-20T20:10:01Z,98,4,7,7,514,335,52,0,0,0
2026-05-20T20:12:01Z,98,4,9,12,525,349,72,0,0,0
2026-05-20T20:14:01Z,98,2,6,6,434,268,37,0,0,0
2026-05-20T20:16:01Z,98,3,7,7,496,338,23,0,0,0
2026-05-20T20:18:01Z,98,2,7,8,433,308,60,0,0,0
2026-05-20T20:20:01Z,98,4,7,8,440,329,42,0,0,0
2026-05-20T20:22:01Z,98,3,6,9,435,295,28,0,0,0
2026-05-20T20:24:01Z,98,3,8,9,516,345,59,0,0,0
2026-05-20T20:26:01Z,98,1,6,6,539,300,45,0,0,0
2026-05-20T20:28:01Z,98,2,5,7,483,300,25,0,0,0
2026-05-20T20:30:01Z,98,2,7,7,466,303,25,0,0,0
2026-05-20T20:32:01Z,98,5,10,15,631,407,68,5,0,0
2026-05-20T20:34:01Z,98,0,6,6,429,272,23,0,0,0
